ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 524288 0x1200 125 6975.714084 5.755233 98.450638 129.322418 681223818985065 681240444033035
0 524288 0x1200 115 6966.036721 5.762823 98.36673 129.539871 681362902223965 681379551162530
0 524288 0x1200 105 6954.967651 5.771933 98.523254 129.760513 681502166875429 681518841395671
0 524288 0x1200 95 6965.472758 5.763445 98.341049 129.561691 681641296167357 681657943602671
0 524288 0x1200 85 6963.48284 5.765108 98.425751 129.664139 681780415466557 681797070079064
0 524288 0x1200 75 6958.74608 5.768601 98.505798 129.639221 681919551603243 681936217637900
0 524288 0x1200 65 6971.941259 5.757827 98.288544 129.468811 682058745807832 682075380243751
0 524288 0x1200 55 6971.926772 5.758526 98.338928 129.488174 682174913876775 682191548473105
0 524288 0x1200 45 6969.202106 5.760145 98.503891 129.442001 682314290577986 682330931762900
0 64 0x1300 135 33.542208 0.165546 2.522827 3.265778 679652065744763 679652487546023
0 64 0x1300 125 32.65353 0.169273 2.552139 3.354034 679762016296206 679762449590588
0 64 0x1300 115 33.538582 0.166002 2.505676 3.271683 679871934916630 679872356774657
0 64 0x1300 105 33.415294 0.166086 2.485947 3.291046 680010810070384 680011233475763
0 64 0x1300 95 33.448749 0.166575 2.481812 3.26506 680149775235570 680150198194459
0 64 0x1300 85 33.522223 0.16631 2.48877 3.268295 680288664822911 680289086876053
0 64 0x1300 75 33.319992 0.167176 2.5009 3.308319 680427528245077 680427952895205
0 64 0x1300 65 32.958102 0.16802 2.544235 3.329971 680566447057847 680566876306355
0 64 0x1300 55 33.66948 0.164949 2.463333 3.267761 680705330910997 680705751087639
0 64 0x1300 45 33.108996 0.167429 2.502014 3.311462 680844225926268 680844653505725
0 8192 0x1300 135 2090.154164 0.307137 5.093796 6.80864 679653103426335 679653970202319
0 8192 0x1300 125 2079.271925 0.3205 5.108948 6.855988 679791981814903 679792853140799
0 8192 0x1300 115 2090.105835 0.319291 5.125824 6.81131 679901900522734 679902767318060
0 8192 0x1300 105 2076.52957 0.321587 5.151062 6.854233 680040793187477 680041665608089
0 8192 0x1300 95 2101.059972 0.317705 5.045456 6.763901 680179746416135 680180608813959
0 8192 0x1300 85 2090.727612 0.318569 5.119202 6.812866 680318624643453 680319491123753
0 8192 0x1300 75 2095.043548 0.318745 5.095459 6.790695 680457493947493 680458358716803
0 8192 0x1300 65 2088.003205 0.319293 5.136459 6.80835 680596418380909 680597285981064
0 8192 0x1300 55 2077.28814 0.320669 5.123444 6.860519 680735299279597 680736171395611
0 8192 0x1300 45 2083.312141 0.319891 5.10022 6.833328 680874209308067 680875078905976
0 65536 0x1300 135 4969.80417 1.026251 17.207458 23.282028 679683522454209 679686438974671
0 65536 0x1300 125 4960.224109 1.015882 17.249985 23.221985 679793477034059 679796399559721
0 65536 0x1300 115 4957.971412 1.028988 17.255981 23.212341 679932313604212 679935236961972
0 65536 0x1300 105 5038.995926 1.012623 16.95697 22.893051 680071287006379 680074163601154
0 65536 0x1300 95 4987.476325 1.022248 17.101303 23.109726 680210159521694 680213065581407
